namn,adress,postnummer,postort,kommunnamn,lon,lat,pixlar_25m,tradpixlar_25m,tradtackning_25m_procent,pixlar_50m,tradpixlar_50m,tradtackning_50m_procent,pixlar_100m,tradpixlar_100m,tradtackning_100m_procent,tradindex_25_50_100
BERGSPRÄNGARENS FÖRSKOLA,SPRÄNGGATAN 2,97432,LULEÅ,Luleå,22.192916,65.584954,1968,12,0.61,7852,1703,21.69,31372,12280,39.14,14.64
DUNGENS FÖRSKOLA,LÅNGMYRVÄGEN 2,97455,LULEÅ,Luleå,22.246112,65.587502,1968,0,0.0,7853,1706,21.72,31374,11536,36.77,13.87
ÅRANS FÖRSKOLA,EDEFORSGATAN 61,97439,LULEÅ,Luleå,22.210042,65.576482,1968,682,34.65,7852,3252,41.42,31372,11421,36.41,37.03
HAGA FÖRSKOLA,KOLKGATAN 34,97441,LULEÅ,Luleå,22.207129,65.587236,1968,496,25.2,7852,3272,41.67,31372,10824,34.5,32.0
SNÖMANNENS FÖRSKOLA,MIDVINTERSTIGEN 6,97451,LULEÅ,Luleå,22.228895,65.587983,1968,40,2.03,7852,2060,26.24,31372,9733,31.02,15.09
VINTERGATANS FÖRSKOLA,STORMVÄGEN 1,97634,LULEÅ,Luleå,22.176233,65.620388,1968,255,12.96,7852,1749,22.27,31372,9433,30.07,19.18
ORMBERGETS FÖRSKOLA,HÖSTVÄGEN 1,97633,LULEÅ,Luleå,22.180948,65.611434,1968,19,0.97,7853,2215,28.21,31374,9368,29.86,14.92
SUNDETS FÖRSKOLA,ASSISTENTVÄGEN 1,97752,LULEÅ,Luleå,22.14488,65.624838,1968,7,0.36,7852,1566,19.94,31372,9362,29.84,12.13
CHARLOTTENDALS FÖRSKOLA,VÄSTRA MALMGATAN 8 A,97241,LULEÅ,Luleå,22.1589,65.588678,1968,350,17.78,7852,2850,36.3,31372,9288,29.61,25.7
ÄNGENS FÖRSKOLA,KRÅKÖRVÄGEN 4,97455,LULEÅ,Luleå,22.261325,65.580729,1968,81,4.12,7852,2140,27.25,31372,8863,28.25,15.88
MUNKEBERG ANNEX FÖRSKOLA,ANKARVÄGEN 1 C,97341,LULEÅ,Luleå,22.128393,65.599633,1968,395,20.07,7852,3383,43.08,31372,8685,27.68,28.5
MUNKEBERGS FÖRSKOLA,ANKARVÄGEN 1 A,97341,LULEÅ,Luleå,22.128456,65.59899,1968,89,4.52,7852,1085,13.82,31372,8544,27.23,11.85
BRISENS FÖRSKOLA,BLIDVÄGEN 26,97632,LULEÅ,Luleå,22.180289,65.616841,1968,144,7.32,7852,2098,26.72,31373,8488,27.06,17.09
BERGETS FÖRSKOLA,ÖSTERGATAN 18 D,97434,LULEÅ,Luleå,22.200187,65.585393,1968,54,2.74,7852,2146,27.33,31372,8432,26.88,14.95
MIDSKOGSSKOLAN OCH MIDSKOGENS FÖRSKOLA,GYMNASIEVÄGEN 2 C,97332,LULEÅ,Luleå,22.162889,65.594902,1968,237,12.04,7852,1768,22.52,31372,8132,25.92,17.96
SEMINARIETS FÖRSKOLA,REKTORSGATAN 2,97242,LULEÅ,Luleå,22.168871,65.589577,1968,118,6.0,7852,708,9.02,31372,8078,25.75,10.86
VILLA KREATIVA FÖRSKOLA,KANOTVÄGEN 2-4,97332,LULEÅ,Luleå,22.163074,65.601008,1968,41,2.08,7852,932,11.87,31372,5506,17.55,8.11
SVARTÖSTADENS FÖRSKOLA,ÖSTMARKSGATAN 8-10,97437,LULEÅ,Luleå,22.19458,65.561281,1968,82,4.17,7852,1567,19.96,31372,5176,16.5,11.37
TALLKRONANSKOLAN OCH SPIRA FÖRSKOLA,REGEMENTSVÄGEN 1 A,97442,LULEÅ,Luleå,22.195338,65.59375,1968,126,6.4,7852,590,7.51,31372,4885,15.57,8.57
STRANDENS FÖRSKOLA,DOCENTVÄGEN 8,97752,LULEÅ,Luleå,22.147575,65.620535,1968,140,7.11,7852,854,10.88,31372,4581,14.6,9.74
KRISTALLENS FÖRSKOLA,TUNASTIGEN 63,97344,LULEÅ,Luleå,22.101538,65.607055,1968,0,0.0,7852,290,3.69,31372,4287,13.67,3.84
KALLKÄLLANS FÖRSKOLA,LINGONSTIGEN 36,97332,LULEÅ,Luleå,22.154491,65.601197,1968,81,4.12,7853,1111,14.15,31374,4023,12.82,8.87
BURSTRÖMSKAS FÖRSKOLA,BURSTRÖMSVÄGEN 10,97433,LULEÅ,Luleå,22.18654,65.586403,1968,374,19.0,7852,1526,19.43,31374,3988,12.71,17.87
SOLKATTENS FÖRSKOLA,SUNDSBACKEN 15,97242,LULEÅ,Luleå,22.169127,65.58759,1968,52,2.64,7852,844,10.75,31372,3610,11.51,6.85
HÄGERNS FÖRSKOLA,RESIDENSGATAN 2,97236,LULEÅ,Luleå,22.140238,65.578305,1968,11,0.56,7852,398,5.07,31372,3556,11.33,4.07
UDDENS FÖRSKOLA,FORSKARVÄGEN 153,97753,LULEÅ,Luleå,22.155269,65.615924,1968,191,9.71,7852,806,10.26,31372,3275,10.44,10.02
KULLENS FÖRSKOLA,RÄVSPÅRET 1,97455,LULEÅ,Luleå,22.252695,65.584778,1968,131,6.66,7852,368,4.69,31372,2659,8.48,6.43
BORGMÄSTARSKOLAN MED FÖRSKOLOR,FRAMNÄSGATAN 4,97342,LULEÅ,Luleå,22.097621,65.608916,1968,3,0.15,7852,25,0.32,31372,2450,7.81,1.73
Kideus AB,UNIVERSITETSVÄGEN 10 A,97441,LULEÅ,Luleå,22.144041,65.616905,1968,25,1.27,7852,1098,13.98,31372,2411,7.69,6.37
BERGSTADENS FÖRSKOLA,STENGATAN 139,97252,LULEÅ,Luleå,22.104101,65.572847,1968,0,0.0,7852,0,0.0,31372,0,0.0,0.0
KLIPPANS FÖRSKOLA,STENGATAN 15,97252,LULEÅ,Luleå,22.098586,65.575775,1968,0,0.0,7852,0,0.0,31372,0,0.0,0.0
STENÅSENS FÖRSKOLA,STENGATAN 20,97252,LULEÅ,Luleå,22.102958,65.571936,1968,0,0.0,7852,0,0.0,31372,0,0.0,0.0
Trollnäs förskola ek. för.,BOWATERSVÄGEN 7,97251,LULEÅ,Luleå,22.121528,65.569683,1968,0,0.0,7852,0,0.0,31372,0,0.0,0.0
VÅGENS förskola Ekonomisk förening,UPPLAGSVÄGEN 18,97254,LULEÅ,Luleå,22.079405,65.57653,1968,0,0.0,7852,0,0.0,31372,0,0.0,0.0
Vågens Förskola AB,UPPLAGSVÄGEN 18,97254,LULEÅ,Luleå,22.079405,65.57653,1968,0,0.0,7852,0,0.0,31372,0,0.0,0.0
